n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1974.6,2141.6,2398.8,2571.1,2708.7,2953.8,3149,3276.7,3511.8,3668.2,3788,3972.2,4122.2,4276.7,NaN,NaN,4599.8,NaN,4796.8,4950.2,5131.7,5349.8,5477,5591.5,5811.7,5960.2,6078.3,6266.8,6419,6584.6,NaN,NaN,6922.4,NaN,7118.6,7275.8,7452.6,7671.1,7792.8,7908.4,8091,NaN,8289,8445.4
2048.8,2197.6,2481.4,2640.5,2812.6,3026.9,3219.2,3388.9,3578.1,3744.8,3905.6,4087.2,4217.4,NaN,NaN,4527.8,NaN,4746,4897.7,5046.5,5308.4,5421.8,5553.6,5720.2,5879.9,6035.6,6202,6382.3,6516.2,NaN,NaN,6834.4,NaN,7069,7219.2,7373.3,7628.5,7759.1,7869,8033.5,NaN,8237.9,8389.3,8543.8
