n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,n
1992.2,2159.8,2301,2542.8,2733.8,2855.4,3072.4,3241.7,3364.1,3565.4,3721.2,3876.2,NaN,NaN,4223.8,NaN,4426.2,4587.1,4771,4994.5,5129.5,5247.8,5464.9,5621,5735.8,5938.4,6093.5,6258.1,NaN,NaN,6594.5,NaN,6796.8,6958.9,7150.2,7375.6,7506.2,7625.5,7816.2,NaN,8016.8,8182.1,8373.5,NaN,NaN,8716.5,NaN,8916,9078.2,9246.6,9471.3,9601.8,9717.6,9909.1,NaN,10112,10274,10468,10696,10829,10949,11149,NaN,11353,11516,11726
2061.2,2229.9,2417.8,2616.1,2807.6,2990.1,3151.4,3322,3484.3,3666.9,3828.8,NaN,NaN,4136.8,NaN,4373.9,4532.2,4686.9,4954.6,5095.4,5207.2,5370.9,5547.7,5699.6,5859.2,6044.8,6193.2,NaN,NaN,6518.8,NaN,6747.2,6906.9,7060.1,7334.5,7455.3,7585.7,7746.6,NaN,7970.2,8125.4,8281.8,NaN,NaN,8653.6,NaN,8864.2,9021.9,9178.2,9437.1,9567.7,9678.9,9846.4,NaN,10058,10220,10376,10654,10773,10908,11079,NaN,11302,11463,11619,11785
