n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p
2003.8,2384.2,4121,4194,4451,4881.3,5183.4,5872.5,6049.9,6157.2,6370.5,6485.2,6651.4,6830.2,6979.8,7130.7,NaN,NaN,7468.7,NaN,7662.2,7811.3,7981.6,8195.1,8323,8436.4,8643.8,8790.8,8904.4,9081.6,9233.4,9390,NaN,NaN,9723.7,NaN,9917.7,10071,10245,10461,10589,10701,10914,11059,11170,11411,11555,11666,11844,11997,12155,NaN,NaN
2338.1,2460.5,4162.6,4332.8,4670.5,5104,5295.4,5944.8,6115.2,6268.9,6440.3,6604.9,6770.1,6934.1,7075.8,NaN,NaN,7383.6,NaN,7615.5,7764.5,7904,8157,8270.3,8398.1,8557.2,8718.2,8869.6,9026.2,9188.1,9334.5,NaN,NaN,9645.4,NaN,9870.4,10023,10168,10423,10537,10664,10823,10986,11133,11291,11509,11630,11788,11945,12094,NaN,NaN,12406
