g,n,n,n,n,e,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n
1785.8,1953.8,2121.5,2402.7,2577.8,2703.6,3280.7,3561.8,3748.2,3885,4113.4,4307.2,4425.8,4721.5,4888.2,5001.8,5198.2,5347.1,5505.2,NaN,NaN,5866.8,NaN,6062.3,6216.9,6399.5,6790.1,6925.9,7038.1,7249,7390.4,7502.6,7715.5,7863.9,7977,8164.4,8314.9,8476.3,NaN,NaN,8803.2,NaN,8995.6,9152.1,9323.8,9535.5,9664.8,9778.2,10001,10147,10260,10479,10632,10745,10929,11081,11254,NaN,NaN,11580,NaN,11777,11936,12131,12352,12544
1846,2026,2183.1,2475.2,2643.8,2809.9,3350.4,3636.7,3820.3,3990.4,4180.9,4379.4,4546.4,4790.6,4960.2,5121.2,5295.9,5447.5,NaN,NaN,5755,NaN,6011.3,6167.2,6311.4,6573.2,6857.5,7001.8,7160.9,7322.3,7467.4,7626.8,7789.1,7941.8,8098.5,8280.1,8411,NaN,NaN,8726.5,NaN,8950.4,9093.7,9251.7,9496.6,9609.7,9741.3,9901.4,10068,10224,10380,10550,10708,10868,11028,11180,NaN,NaN,11524,NaN,11727,11878,12035,12307,12397,12613
