n,n,n,n,n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x
1798.9,1964.7,2117.8,2718.1,2899.4,3057,3367.6,3565.9,3694,3937.2,4361.1,4574.2,4706.8,4930.1,5130.4,5244.5,5429.5,5579.2,5732.4,NaN,NaN,6109.9,NaN,6304.7,6454.2,6623.7,6842.8,6972.5,7085.7,7303.8,7459.8,7576.1,7782.2,7935.8
1838,2027.9,2165.7,2778.5,2974.6,3128.4,3437.8,3627.5,3797.7,4006,4431.6,4642.4,4813.7,5001,5203.8,5365.1,5531.5,5678.1,NaN,NaN,5998.2,NaN,6255,6403,6552.2,6800.4,6912.7,7043.8,7201.5,7375.6,7534.2,7697.2,7877.2,8034.3
