n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,d,m,p,g,n,n,e
1987.2,2144.8,2275.6,2532.3,2700.4,2823,3010.3,3159.2,3317.6,3406.3,3640.8,NaN,3834.2,3987.4,4149.1,4363,4485.2,4599.6,4800,4940.3,5050.2,5233.1,5385,5544.3,NaN,NaN,5872.9,NaN,6066.3,6220,6392.3,6609.5,6729.8,6845.8,7021.9,NaN,7213.4,7372.5,7539.1,NaN,NaN,7893.3,8052.1,8163.1,8340.6,8535.1,NaN,NaN,8886.6,9102.8,9228.4,9342.3
2054.1,2211.6,2380.9,2616.9,2773.7,2940.9,3111,3258.2,3380.3,3556,NaN,3785.6,3932.3,4080.6,4325.6,4451.5,4558.9,4722.4,4871.1,5013.3,5171.1,5335.2,5482.8,NaN,NaN,5800.1,NaN,6022.5,6167.2,6319.5,6570.4,6679,6803.7,6970.5,NaN,7163.8,7314.1,7472.1,NaN,NaN,7794.2,7965.3,8128,8283,8487.8,NaN,NaN,8791,9061.9,9176,9304,9465.3
