n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n
1601.9,1804.9,1965.5,2127.1,2379.6,2545.3,2671.1,3241.8,3413.7,3549.2,3762.2,3929.9,4050,4239.2,4394.8,4548.9,NaN,NaN,4890.2,NaN,5090.7,5251.4,5439,5659.8,5789.5,5902.4,6113.8,6268.1,6434.1,NaN,NaN,6764.9,NaN,6962.4,7121.9,7860.6,8012.7,8130.1,8316.5,8475.5,8632.7,NaN,NaN,8968,NaN,9163.9,9323.6,9493.8,9716.6,9846.6,9958.8,10160,10302,10414,10597,10758,10923,NaN,NaN,11274,NaN,11471,11636,11812,12037,12165,12277,12487,12635,12747,12930,NaN,13130,13293,13476,13701,13832,13948,14134,NaN,14336,14505,14689,NaN,NaN,15090,15246,15367,15582,15728,15844,16033,16191,16372,16599,16728,16844,17074,NaN,17288,17456,17647,NaN,NaN,18020,18176,18295,18486,NaN,18692,18869,19074,NaN,NaN,19455
1639.1,1869.8,2039.8,2186,2448.5,2610.7,2778.4,3315.3,3485.5,3661.9,3836.1,4004.3,4174.1,4339.2,4497.4,NaN,NaN,4808.1,NaN,5040.3,5195,5353.7,5620.6,5737.3,5863.5,6030.3,6216.2,6366.9,NaN,NaN,6692.9,NaN,6913.8,7067.5,7224.7,7938.7,8086.1,8254.9,8424.7,8577.2,NaN,NaN,8892.3,NaN,9116.2,9265.3,9433.6,9677,9795.2,9919.7,10083,10237,10377,10534,10705,10870,NaN,NaN,11190,NaN,11422,11580,11739,11994,12110,12239,12400,12564,12710,12870,NaN,13077,13235,13405,13659,13794,13907,14074,NaN,14286,14447,14615,NaN,NaN,14945,15172,15326,15491,15659,15801,15963,16137,16294,16554,16690,16807,16968,NaN,17229,17394,17559,NaN,NaN,17910,18084,18248,18419,NaN,18638,18799,18972,NaN,NaN,19340,19527
