n,n,n,n,n,e,n,n,e,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,n,n,e,n,n
1826,1978.2,2141.7,2491.3,2668.2,2797.9,3660.9,3831.1,3957.2,4181.9,4475.9,4670.8,4822.7,4973,NaN,NaN,5301.7,NaN,5500.5,5650.5,5819.6,6035.7,6163.2,6273.1,6458.7,6611.3,6766.1,NaN,NaN,7090.7,NaN,7282.7,7441.4,7607.3,7826.4,7950.1,8062.9,8249.7,8405.3,8563.8,NaN,NaN,8915.2,NaN,9107.6,9263.8,9436.3,9653.6,9776,9886.7,10069,10225,10389,NaN,NaN,10717,NaN,10921,11195,11330,11445,11662,11910
1880.3,2047.7,2202.2,2560.8,2737.3,2906.2,3722.7,3898.5,4067.6,4416.8,4594.8,4767.7,4918.9,NaN,NaN,5219.7,NaN,5452,5600.7,5748.1,5997.8,6106.8,6240.4,6394.7,6561.3,6710.8,NaN,NaN,7013.1,NaN,7236.6,7387,7539.3,7783.2,7915.7,8024.6,8185.3,8350.6,8504.5,NaN,NaN,8816.7,NaN,9058.3,9213.1,9360.1,9614.7,9727.3,9854.4,10008,10176,10329,NaN,NaN,10640,NaN,10866,11027,11275,11406,11567,11732,12027
