n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1825.6,1983.7,2140.3,2316.9,2478.6,2788.9,2982.8,3131.7,3359.7,3536.8,3664.8,3878.2,4028.8,4191.4,NaN,NaN,4526.9,NaN,4725.3,4880.2,5049.8,5264.4,5388.7,5502.8,5707.6,5856.8,5969.6,6154.4,6309.7,6469.3,NaN,NaN,6802.2,NaN,7000.2,7159.8,7337.2,7556,7685.2,7799.4,7989.1,NaN,8183.4,8342,8538.2,NaN,NaN,8876.1,NaN,9073.7,9230.1,9411.9,9632.8,9758.4,9871.3,10054,NaN,10252,10413
1877.5,2055.9,2199.2,2377.7,2581.9,2858.2,3045.5,3237.5,3432.3,3601.9,3783.7,3975.1,4129.7,NaN,NaN,4457.6,NaN,4675.7,4828.4,4981.6,5227,5337.5,5462,5622.3,5778.3,5928.5,6093.2,6257.3,6418.5,NaN,NaN,6731.9,NaN,6955.8,7103.7,7265.3,7520.7,7641.9,7762.2,7923.2,NaN,8136.5,8287.1,8441.4,NaN,NaN,8791.7,NaN,9026.7,9178.1,9331.8,9597.5,9709.8,9830.2,9993.8,NaN,10202,10364,10513
