n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a
1817.5,1971.2,2128.4,2234.5,2417.9,2796.4,2956.5,3123.2,3261.5,3553.7,3742.3,3871,4064.3,4222.4,4406.8,NaN,NaN,4759.9,NaN,4958.7,5116.8,5306.3,5532,5660.3,5775.5,5983.1,6133.7,6247.6,6451,6605.4,6769.6,NaN,NaN,7103.7,NaN,7302.3,7462.8,7649.6,7914.8,8069,8182.7,8367.5,8526.4,8696.2,NaN,NaN,9050.3,9189.5,9305.7,9489.7,NaN,9690.4,9849.4,10086,NaN,NaN,10426,NaN,10625,10787,10963,11182,11307,11418,11606,NaN,11805,11970,12172,NaN,NaN,12531,12677,12790,13000,13150,13265,13448,13605,13766,13992,14118,14236,14427,NaN,14626,14790,15002,NaN,NaN,15377,15523,15640,15827,NaN,16028,16194,16366,16590,16718,16831,17021
1866.7,2039.7,2178.3,2329.3,2521.5,2879.6,3026.7,3190.2,3367.7,3623.6,3813.3,3987.4,4170.2,4319.7,NaN,NaN,4665.9,NaN,4907.7,5067.7,5216.4,5490.8,5606.6,5738,5898.2,6055.8,6217.1,6369.3,6555.4,6705,NaN,NaN,7028.9,NaN,7253.6,7409.4,7563.5,7818.3,7990.1,8143.8,8307.6,8479,8628,NaN,NaN,8954.2,9117.2,9263.1,9428.9,NaN,9637.9,9798.5,9951.3,NaN,NaN,10343,NaN,10574,10734,10900,11144,11258,11381,11542,NaN,11755,11906,12071,NaN,NaN,12434,12600,12748,12918,13072,13227,13384,13553,13705,13948,14066,14193,14359,NaN,14574,14732,14893,NaN,NaN,15263,15442,15597,15764,NaN,15977,16152,16304,16549,16664,16791,16953,17166
