-,-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g
1983.8,2291.2,2588.9,2775.3,2915.1,3124.9,3305.2,3425.2,3624.6,3779.9,3937,NaN,NaN,4286.5,NaN,4485,4642.3,4818.1,5043.6,5176.1,5288.9,5496.5,5651.3,5768.8,5955.2,6111.6,6269.8,NaN,NaN,6608.9,NaN,6807.5,6966.1,7135.3
2053,2366.5,2664,2847.9,3027.1,3197.5,3382.7,3548.9,3730.8,3879.8,NaN,NaN,4200,NaN,4437.5,4591.4,4742.7,5002.9,5120.2,5255,5418,5571.6,5733,5899,6064.2,6213,NaN,NaN,6528.7,NaN,6756.2,6912.8,7077.5,7321.2
