n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e
1054.9,1969.9,2312.2,2510.5,2634.5,3169.6,3352,3487.4,3707.6,3889.1,4007.6,4205.3,4353.7,4522.1,NaN,NaN,4857.3,NaN,5052.6,5204.8,5379.1,5595.1,5719.8,5832,6035.4,6178.9,6290.9,6513.8,6673.8,6784.9,6965.5,7117.8,7284,NaN,NaN,7617,NaN,7811.5,7966.8,8165,NaN,NaN,8509.2,NaN,8704.4,8861.9,9038.1,9253.2,9377.9,9490.4,9674.8,NaN,9867.9,10028,10203,NaN,NaN,10549,NaN,10746,10903,11087,NaN,NaN,11456,11631,11748
1094.5,2081.2,2384.9,2571.5,2737.7,3265.6,3390,3598.5,3781.9,3967.2,4125.6,4302.9,4452.1,NaN,NaN,4777.7,NaN,5005.2,5155.2,5311.8,5554.1,5665.3,5794.2,5952.8,6111.1,6259.2,6413.8,6585.7,6745.6,6898.3,7063.5,7217.2,NaN,NaN,7543.5,NaN,7762.7,7916,8065.1,NaN,NaN,8419.6,NaN,8654.2,8810.1,8959.2,9214.5,9328.8,9450.5,9609.2,NaN,9818,9973,10128,NaN,NaN,10457,NaN,10713,10852,11002,NaN,NaN,11342,11527,11704,11868
