n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g
2267.2,2462.2,2671.9,2828.1,3126.1,3292.3,3422.1,3970,4152.2,4273,4489.7,4675.2,4799,4998.7,5154.9,5314.7,NaN,NaN,5649.8,NaN,5853.2,6008.5,6185.2,6409.3,6542.5,6656,6866.8,7011.8,7129.4,7332.3,7490.9,7658.1,NaN,NaN,7992.2,NaN,8192.8,8350.3,8522.8,8748.6,8878.4,8993.6,9197.6,9350.2,9465.2,9654,9810.4,9982.2,NaN,NaN,10322,NaN,10522,10682,10856,11081,11210,11322,11512,NaN,11712,11873,12054,NaN,NaN,12430,12611,12726,12919,NaN,13120,13284,13462,NaN,NaN,13858,14002,14117,14311,NaN,14511,14668,14859,15083,15213,15326,15538,15689,15807,15996,16155,16324,NaN,NaN,16669,NaN,16872,17038,17214
2322.1,2534.2,2749.9,2882.4,3193.9,3368.5,3531.9,4054.4,4229.6,4396.1,4562.2,4754.5,4924.4,5109.2,5255.6,NaN,NaN,5576.8,NaN,5803.9,5963.1,6106.3,6368.9,6488.2,6617.9,6781.7,6941.8,7087.3,7253,7441.3,7591.7,NaN,NaN,7917.6,NaN,8144.6,8296.9,8449.5,8711,8826.5,8955.1,9115.9,9271.2,9430.8,9593.5,9758.6,9910.2,NaN,NaN,10247,NaN,10472,10645,10784,11043,11158,11288,11449,NaN,11663,11820,11978,NaN,NaN,12338,12503,12689,12855,NaN,13071,13230,13383,NaN,NaN,13724,13929,14078,14245,NaN,14458,14610,14768,15045,15160,15294,15454,15614,15766,15935,16102,16256,NaN,NaN,16589,NaN,16822,16980,17157,17401
