n,n,n,n,n,n,n,n,e,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p
1812.5,1969,2139.2,2299.8,2443.8,2592.3,2891.1,3071.6,3191.1,3460.7,3746.8,3933.3,4082.7,4240.2,NaN,NaN,4564.7,NaN,4758.8,4912.2,5082.9,5296.8,5422.1,5534.9,5737.8,5913.6,6028.9,6211.4,6366.8,6545.3,NaN,NaN,6874.8,NaN,7067.8,7223.8,7395.7,7619.8,7744.9,7858.8,8041.8,NaN,8235.7,8394.6,8627.4,NaN,NaN,8958.5,NaN,9155.1,9315.3,9486.1,9705.5,9834.8,9946.8,10167,10317,10430,10630,10779,10949,11169,11297,11409,11631,11791,11907,12129,12281,12396,12578,12736,12912,NaN,NaN
1863.9,2039.7,2213.6,2371,2530.8,2670.3,2965.5,3132,3303.3,3699.1,3864.4,4023.7,4181,NaN,NaN,4493.6,NaN,4709.3,4859.6,5009.1,5259.9,5371.2,5494,5657,5814.2,5991,6150.6,6313.9,6464.9,NaN,NaN,6798.9,NaN,7020.4,7172,7323.9,7580.6,7695.7,7820.5,7981.9,NaN,8186.9,8337.3,8495.8,NaN,NaN,8883,NaN,9106.5,9258,9415.1,9668.3,9795.3,9915.3,10070,10241,10397,10550,10729,10879,11130,11246,11369,11537,11705,11870,12032,12203,12355,12517,12687,12836,NaN,NaN,13172
