n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,c
1835.4,1985.2,2130.2,2296,2423,2927,3098.9,3222,3447.1,3607.8,3726.5,3906,4057.7,4238,NaN,NaN,4562.5,NaN,4758.1,4914.4,5091.4,5307.1,5437.8,5550.1,5756.1,5903.8,6023,6240.4,6397.6,6511.3,6691.5,6847.8,7014.2,NaN,NaN,7343.2,NaN,7539.2,7696,7878.7,8096.8,8224,8337.7,8556.5,8721.6,8835.8,9057,9203.3,9561.2,9720.2,9833.4,10023,10177,10342,NaN,NaN,10708,10855,10971,11160,NaN,11353,11513,11699,NaN,NaN,12027,NaN,12222,12382,12595,NaN,NaN,12953,13100,13220,13408
1866.1,2054.3,2201.8,2354.2,2526.6,3014.3,3169.8,3339.5,3515.5,3683.2,3843.8,3999.5,4152.3,NaN,NaN,4495.9,NaN,4704.5,4855.4,5006.8,5263.6,5376.6,5512.5,5666.7,5826.1,5979.9,6145.5,6312.3,6475.9,6631.4,6792.7,6944.7,NaN,NaN,7266.7,NaN,7490.8,7641.6,7793.5,8055.2,8166.9,8299.6,8455.8,8629.4,8798.8,8957.1,9126,9280.3,9639.7,9797.8,9951.1,10125,10276,NaN,NaN,10603,10778,10933,11091,NaN,11302,11457,11608,NaN,NaN,11954,NaN,12172,12324,12481,NaN,NaN,12856,13020,13176,13342,13506
