n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,a,b,c
1138.6,1989.6,2903.9,3304.6,3460.1,3626.7,3746.2,4164.6,4349,4484,5107.5,5268.2,5387.2,5588.9,5740.2,5894.6,NaN,NaN,6215.5,NaN,6411.1,6564.2,6735.1,6951.3,7072.3,7189.3,7390.9,8381.2,8540.8,8662.6,8853.7,NaN,9050.1
1227.7,2036.4,2941.7,3366.4,3529.1,3719.2,3847.8,4236.3,4415.5,4591.4,5177.3,5343.3,5506.9,5687.9,5833.5,NaN,NaN,6146.9,NaN,6363.9,6516.3,6659.3,6912.8,7038.6,7146.8,7310.4,7462.2,8451.1,8614.2,8777.9,NaN,9001,9153.5
