n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n
1609.6,1795.3,1962.2,2127.5,2356.7,2521.8,2759.8,2946.2,3078.9,3465.2,3679.5,3810.7,4619.2,4799.2,4920.1,5137.7,5332,5458.9,5648.2,5801.8,5957,NaN,NaN,6300.1,NaN,6495.1,6649.5,6820.8,7040.8,7167.6,7283.7,7466.8,NaN,7665,7823.6,8010,NaN,NaN,8344.2,NaN,8545.4,8708.3,8887.7,9106,9363.1,9506.8,9621.5,9804,9961,10121,NaN,NaN,10449,NaN,10645,10806,10998,11217,11346,11458,11640,NaN,11837,11993,12169,12383,12508,12621,12812,NaN,13011,13171,13335,13554,13684,13798,14005,14145,14263,14452,14611,14772,NaN,NaN,15122
1640.8,1847.9,2027.6,2181.5,2436.7,2584.1,2829.9,3012.1,3187,3535.2,3749.8,3926,4688.8,4867.2,5035.5,5205.9,5403,5577.9,5748.4,5901.2,NaN,NaN,6224.6,NaN,6448.9,6588.4,6746.4,7002,7115.4,7242.1,7405,NaN,7617.6,7769.6,7923.7,NaN,NaN,8264.7,NaN,8493.3,8649.5,8813.4,9069.4,9179,9429.5,9579.2,9743.6,9908.8,10059,NaN,NaN,10373,NaN,10597,10750,10901,11178,11291,11425,11581,NaN,11788,11937,12091,12348,12456,12588,12748,NaN,12965,13114,13271,13516,13631,13759,13919,14077,14216,14383,14548,14710,NaN,NaN,15026,15190
