c,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g
1614.8,1797.8,1985.4,2165,2727.2,2908.1,3042.1,3354.7,3557.7,3693.7,4065.4,4225.5,4351.8,4558.1,4721.9,4884.9,NaN,NaN,5241.2,NaN,5441,5604.6,5795.8,6019.9,6148.4,6264.2,6471.9,6624.1,6741.8,6965.2,7895.3,8045.8,8164,8382.8,8537.3,8654.9,8845,9000,9165.2,NaN,NaN,9512.2,NaN,9710.2,9876.9,10050,10270,10398,10512,10719,10862,10977,11167,NaN,11367,11535,11739,NaN,NaN,12098,NaN,12299,12466,12643,NaN,NaN,13009,13167,13282,13467,NaN,13668,13830,14001,14228,14357,14472,14660,NaN,14862,15026,15220,NaN,NaN,15604,15825,15978,16099,16305,16455,16574,16774,NaN,16975,17143,17378,NaN,NaN,17754,17987,18157,18274,18476,NaN,18684,18849,19082,NaN,NaN,19442,NaN,19643,19818,20014
1659.1,1874.1,2084.8,2220,2799.2,2968,3148.5,3428.9,3619.8,3800.8,4157.1,4297.7,4467.5,4665.2,4822.2,NaN,NaN,5144,NaN,5388.9,5545.6,5704.7,5976.5,6091,6222.5,6386.6,6544.3,6699.8,6861.8,7036.4,7965.7,8127.4,8280.4,8460.7,8611.6,8776.3,8947.5,9101.6,NaN,NaN,9425.2,NaN,9659.8,9818.2,9976.6,10230,10353,10479,10637,10792,10937,11099,NaN,11315,11473,11644,NaN,NaN,12002,NaN,12247,12405,12566,NaN,NaN,12904,13084,13242,13406,NaN,13616,13771,13930,14182,14303,14431,14593,NaN,14811,14968,15127,NaN,NaN,15479,15676,15899,16052,16219,16379,16529,16706,NaN,16924,17085,17242,NaN,NaN,17637,17827,18059,18231,18399,NaN,18630,18810,18948,NaN,NaN,19348,NaN,19591,19750,19920,20196
