c,n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,n
1610.6,1777.8,1973.5,2138.1,2365.1,2509.1,2678.5,2856,3032.2,3164.3,3793.3,3964.7,4093.1,4376.3,4575.3,4699.7,4910.4,5061.2,5218.8,NaN,NaN,5556.8,NaN,5755.3,5914,6180.3,6325.7,6456.1,6568.9,6783.5,6930.7,7044.4,7246.2,7397.2,7565.7,NaN,NaN,7898.9,NaN,8093.9,8253.6,8436.2,8653.3,8783.7,8894.9,9117.8,9279.8,9393.5,9583.7,9740.8,9900,NaN,NaN,10244,NaN,10442,10607,10772,10990,11124,11239,11433,NaN,11629,11791,11996,12220,12351,12466,12668,NaN,12864,13031,13235,NaN,NaN,13600,13745,13857,14096,14243,14354,14548,NaN,14746,14903,15105,NaN,NaN,15473,15663,15780,16026
1648,1843.7,2050.1,2197.2,2447.7,2587.4,2714.1,2929.7,3097.3,3273.5,3866,4034,4200.8,4449.7,4643.1,4813.3,5015.1,5156.1,NaN,NaN,5473.3,NaN,5706,5858.7,6011,6283.7,6401.9,6531.9,6687.8,6869.8,7006.7,7165.8,7351.1,7494.8,NaN,NaN,7825.1,NaN,8044.6,8213.3,8355.5,8612.5,8744.4,8858.6,9014.8,9193.2,9351,9517,9706.8,9840.1,NaN,NaN,10156,NaN,10392,10549,10705,10955,11067,11196,11362,NaN,11580,11752,11892,12182,12298,12424,12587,NaN,12817,12974,13143,NaN,NaN,13490,13673,13819,13980,14171,14318,14478,NaN,14694,14848,15001,NaN,NaN,15361,15546,15737,15904,16101
