-,-,-,-,-,-,-,n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n
1045.6,2204.6,2408.2,3017.7,3278.6,3789,3974.2,4230.8,4810.5,4974.4,5649.4,5856.1,5966.2,6245.5,6411.1,6539.8,6756.2,6909.4,7021.2,7200.2,7351.5,7502.3,NaN,NaN,7824.8,NaN,8015.2,8165.2,8321.1,8532.6,8658.2,8768.1,8945,9092.5,9250.2,NaN,NaN,9569,NaN,9759.6,9912.7,10076,10286,10409,10519,10714,10853,10967,11148,11299,11455,NaN,NaN,11776,NaN,11968,12125,12293,12507,12632,12744,12942,13083,13194,13379,13532,13695,NaN,NaN,14024,NaN,14217,14376,14549,14762,14889,15003,15209,15361,15484,15702
1084.9,2362.6,2860,3056.3,3339.3,3821.6,4038.5,4306.4,4862.7,5032.6,5721.5,5922.2,6065.5,6316.2,6484.2,6659.8,6830.5,6981.5,7139.6,7304.1,7449.2,NaN,NaN,7752.1,NaN,7971.6,8120.2,8260.4,8498.7,8616.6,8734.6,8893.2,9042.8,9189.7,NaN,NaN,9501.6,NaN,9713.9,9860.7,10010,10253,10358,10480,10643,10788,10929,11088,11253,11398,NaN,NaN,11706,NaN,11921,12071,12223,12473,12580,12707,12863,13018,13160,13309,13478,13631,NaN,NaN,13953,NaN,14169,14316,14475,14725,14834,14964,15118,15282,15435,15596,15774
