n,n,g,n,n,-,-,n,n,e,n,n,e,n,n,e,c,x,d,m,p,-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,-
1653.7,1835.7,1963.1,2615.1,2742.3,3020.5,3714,4460.1,4619.4,4756.8,5074.4,5276.3,5404.4,5630.6,5806.9,5915.5,6110.7,6260,6411.9,NaN,NaN,7580.2,7919.3,8102.5,8216.3,8465.8,8624.3,8737,8916.5,9066.2,9218.4,NaN,NaN,9524.8,NaN,9781.1,9933.3,10107,10323,10448,10561,10765,10922,11085,NaN,NaN,11500,11653,11773,11970,12120,12285,NaN,NaN,12704,12858,12968,13160,13316,13476,NaN,NaN,13852,NaN,14038,14197,14378,14597,14838,14981,15096,15312,15459,15572,15757,15910,16076,16296,16423,16537,16722,NaN,16917,17074,18019
1686.4,1898.7,2115.1,2659.1,2815.2,3175.1,3827.9,4583.9,4683.1,4861.5,5144.1,5342.7,5516.8,5699.4,5882,6038.9,6209,6358.2,NaN,NaN,6666.3,7720.9,7994.4,8170.8,8331.2,8534.5,8696.1,8856.6,9021.9,9163.5,NaN,NaN,9472.4,NaN,9729.2,9884.6,10029,10284,10396,10522,10687,10877,11022,NaN,NaN,11339,11570,11727,11891,12073,12220,NaN,NaN,12542,12771,12930,13097,13270,13412,NaN,NaN,13723,NaN,13989,14138,14318,14557,14668,14906,15057,15214,15384,15535,15694,15862,16008,16257,16370,16500,16660,NaN,16868,17015,17171,18076
