n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,n,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1906.7,1987.1,2267.1,2441,2621.9,2769.2,2947,3088.7,3361.5,3542.2,3672.4,3878.1,4032.2,4191.2,NaN,NaN,4541.2,NaN,4738,4891,5070.6,5293.9,5425,5536.4,5727.6,5883.4,6046.6,NaN,NaN,6374.2,NaN,6569.9,6731.4,6904.8,7131.6,7263,7380.6,7581.1,7746.9,7860.6,8044.5,8204.1,8368.4,NaN,NaN,8703,NaN,8902.2,9096.7,9216.2,9404.6,9563.7,9732,9958.8,10088,10200,10426,10574,10685,10877,11038,11223,NaN,NaN,11586,11736,11850,12037,12199,12371,12600,12732,12846,13038,NaN,13241,13470,13708,13856,13968,14162,NaN,14362,14521,14692,14919,15047,15163,15351,NaN,15554,15716,15889,NaN,NaN,16284
1943.3,2118.6,2345.3,2500.2,2654.7,2836.8,3016.5,3196.9,3427.8,3612.3,3799.1,3984.7,4131.1,NaN,NaN,4456.3,NaN,4688.2,4842,4994.8,5254,5367.9,5499.5,5658.4,5832.5,5984.8,NaN,NaN,6316.3,NaN,6525,6675.2,6831.5,7092.2,7207.4,7337.5,7506,7670.8,7823.2,7981.7,8154.8,8306,NaN,NaN,8624.3,NaN,8853.3,9011.3,9173.6,9347.2,9517.3,9676.4,9920.2,10036,10166,10325,10511,10647,10807,10987,11148,NaN,NaN,11485,11657,11814,11978,12139,12308,12557,12674,12810,12973,NaN,13190,13363,13541,13791,13933,14095,NaN,14307,14468,14625,14876,15002,15129,15288,NaN,15499,15663,15821,NaN,NaN,16159,16354
