n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,q,r
1975.6,2144,2262.9,2471.3,2664.2,2787.3,2975.2,3124.2,3285.8,3374.8,3614.3,NaN,3809.2,3967.1,4145.1,4357,4483.3,4596.7,4804.2,4957.7,5069.3,5251.1,5403.9,5560.4,NaN,NaN,5888.1,NaN,6084.9,6238.9,6405.4,6622.8,6747.1,6857.8,7061.1,7205.8,7321.3,7528.7,7679.3,7847.3,NaN,NaN,8197.1,NaN,8390.4,8549.7,8727.3,9036.2,9176.2,9290,9469.2,NaN,9669.5,9824.2,10003,NaN,NaN,10352,10499,10611,10819,11059,11203,11315,11504,11656,11825,NaN,NaN,12168,NaN,12365,12522,12706,12774
2041.3,2212,2368.8,2542.7,2736.4,2902.2,3075,3222.9,3349.2,3524.3,NaN,3760.3,3910.5,4064.4,4317.2,4429.1,4559.3,4717.1,4876.1,5032.5,5187,5353.4,5502.5,NaN,NaN,5812.9,NaN,6032.5,6187.8,6336.5,6585.2,6693.7,6822,6974.2,7130.3,7281.8,7440.1,7628,7777.2,NaN,NaN,8099.7,NaN,8338.6,8488.5,8648.1,8901.3,9105.9,9250.6,9410.4,NaN,9618.1,9773.7,9922.2,NaN,NaN,10255,10422,10572,10735,10887,11130,11279,11435,11602,11750,NaN,NaN,12080,NaN,12311,12469,12620,12744,12810
