O,G,n,g,n,n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e
1995.8,2103.1,2636.2,2784.3,3840.1,3940.6,4012.5,5214.5,5417.9,6176,6367.2,6662.2,6822,6942.6,7405.4,7572,7699.1,7902.8,8050.3,8218,NaN,NaN,8553.3,NaN,8747.2,8901,9071.7,9291.4,9413.9,9527.8,9732.5,9900.4,10014,10201,10357,10525,NaN,NaN,10854,NaN,11046,11203,11381,11593,11716,11824,12009,NaN,12203,12355,12574,12661,12914,13054,13167,13368,13518,13630,13809,13963,14153,NaN,NaN,14486,NaN,14682,14841,15136,15287,15414,15529,15733,15879,15993,16172,16329,16495,NaN,NaN,16837,NaN,17033,17191,17384,17602,17726,17839,18036,18184,18295,18498,18640,18758,18971,19175,19291
2064.9,2343.8,2729.2,2888.2,3886.6,3975.7,4065.3,5297.8,5461,6224.6,6593,6730.2,6888.7,7050.8,7477.2,7645.6,7816,8002.8,8148.7,NaN,NaN,8475.7,NaN,8701.1,8850.7,8998.9,9251,9360.8,9486.9,9649.2,9804.4,9974.2,10134,10303,10451,NaN,NaN,10776,NaN,10998,11144,11299,11555,11665,11786,11950,NaN,12155,12293,12454,12638,12816,12983,13132,13288,13441,13593,13752,13914,14062,NaN,NaN,14407,NaN,14627,14780,14935,15240,15352,15489,15651,15801,15955,16112,16274,16428,NaN,NaN,16753,NaN,16982,17140,17290,17558,17673,17802,17960,18109,18260,18416,18569,18713,18878,19043,19250,19413
