n,n,n,n,e,n,n,e,n,n,e,c,x,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x
1841.9,1977.5,2137.6,2289.4,2425.5,2648,2838,2959.2,3184.8,3372.1,3483.6,3687.1,3835.8,4377.1,4568.2,4687.6,4901.9,5065,5180.4,5358.6,5514.2,5678,NaN,NaN,5999.7,NaN,6193.5,6347,6507.5,6726.1,6849.6,6961.2,7158.4,7304.5,7421.1,7606.8,7759.4,7926.1,8013.8,8301.9,8452.7,8566.3,8783.4,8926.6,9043.2,9270.1,9430.7,9542.8,9720.6,9877.1,10048,NaN,NaN,10401,NaN,10590,10751,10916,11134,11258,11369,11578,11720,11831,12044,12214,12329,12514,12667,12845,NaN,NaN,13217,13434,13551,13736,NaN,13931,14087
1888.6,2055.6,2207.3,2354.2,2526.1,2720.6,2914,3082.4,3256,3441.9,3603.2,3777.8,3932.1,4474,4644.6,4816.8,4973.9,5143.7,5301.2,5464.5,5611.9,NaN,NaN,5939.5,NaN,6146.1,6294.5,6444.4,6685.1,6801.9,6926.5,7082.3,7231.2,7379.6,7539.4,7708.8,7856.4,7992.7,8166.4,8372.2,8535.6,8693.1,8855.9,9000.3,9161.9,9346.4,9506.4,9665.4,9827.2,9974.2,NaN,NaN,10305,NaN,10545,10696,10850,11094,11208,11334,11492,11654,11795,11952,12114,12293,12451,12612,12766,NaN,NaN,13098,13282,13510,13674,NaN,13882,14030,14185
