n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a
1840.9,1973.2,2132.3,2386.8,2565.8,2721.1,3130.5,3312.8,3442.8,3676.4,3862.1,3982.4,4188.9,4344.3,4502,NaN,NaN,4844.5,NaN,5044.1,5194.5,5369.8,5588.4,5716.9,5830.7,6038.9,6193.8,6305.1,6493.6,6646.1,6814.3,NaN,NaN,7156.5,NaN,7355.3,7511.7,7686.7,7911.3,8038.7,8151.8,8359.4,8513.5,8630.5,8816.1,8970.4,9132.8,NaN,NaN,9474.4,NaN,9671.2,9831.2,10012,10234,10362,10475,10657,NaN,10854,11014,11212,NaN,NaN,11574
1872.5,2040.8,2187.3,2458.1,2599,2825,3203.4,3382.3,3551.2,3748.7,3936.2,4101.3,4287.9,4442.2,NaN,NaN,4767.7,NaN,4994.4,5140.4,5293.3,5552.1,5660.2,5796.2,5950.4,6110.3,6270.5,6427.7,6597,6744.8,NaN,NaN,7074.3,NaN,7303.8,7454.4,7611.8,7867.8,7983.7,8118.4,8274.8,8429.1,8592.1,8755.7,8922.3,9069.4,NaN,NaN,9386.8,NaN,9619.5,9770.6,9931.1,10193,10305,10441,10598,NaN,10803,10961,11114,NaN,NaN,11467,11722
