n,n,n,n,e,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1832.1,1985.6,2136.7,2287.9,2427.9,3125.2,3263.9,3581.1,3723.8,3963,4152.3,4277.1,4498.7,4652.7,4790,4987.1,5141.2,5306.9,NaN,NaN,5646.4,NaN,5847.6,6008.5,6204.5,6424.4,6554.7,6672.6,6873.8,7023.5,7138.5,7336.9,7492.5,7664.6,NaN,NaN
1876.2,2060.7,2209,2359.1,2534.2,3220.5,3486.2,3645.7,3829.6,4040.5,4223,4394.9,4578,4736,4913.9,5089.5,5240.3,NaN,NaN,5571.2,NaN,5797.5,5946.6,6105.7,6387.5,6498.7,6633.7,6796.3,6950.2,7099.1,7259.3,7443.6,7591.1,NaN,NaN,7924.4
