n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,n,n,e,c,x,g,n,n,e
1991.2,2162.1,2306.6,2636.9,2827.1,2955.4,3160.2,3315.5,3490,NaN,NaN,3883.7,NaN,4081.4,4233.8,4412.3,4633.8,4764.2,4879.8,5087.2,5234.5,5351.3,5541.5,5697.7,5859.7,NaN,NaN,6216.8,6362.4,6476.5,6667.9,6822.9,6994.2,NaN,NaN,7327,NaN,7525.7,7683.4,8266.7,8414.7,8531.2,8732,8881.8,9009.6,9197.6,9351.3,9518.2,9743.3,9871.5,9987
2056.5,2230.6,2411.6,2709.6,2896.6,3083.4,3264.3,3413.2,NaN,NaN,3751.8,NaN,4033,4182.1,4334,4591.9,4704.6,4838.3,5000.5,5158,5313.2,5471.2,5646.5,5795.4,NaN,NaN,6118.6,6286.1,6435.2,6600.4,6771.7,6923,NaN,NaN,7253.2,NaN,7475.2,7630.6,7782.7,8340.2,8493.3,8651,8807,8958.2,9131,9296.5,9450.1,9701.7,9819.1,9946.9,10106
