n,n,e,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,g,g,g
5846.5,6062,6165.8,6394.7,6667.3,6855.7,7008.3,7165.5,NaN,NaN,7489.9,NaN,7683.2,7835.2,7998.2,8216,8341.7,8451.8,8647.7,8790.2,8903.4,9082,9231.8,9391.7,NaN,NaN,9734.2,NaN,9926.6,10080,10246,10463,10588,10699,10897,11040,11153,11370,11509,11622,11799,11950,12111,NaN,NaN,12435,NaN,12630,12786,13097,13240,13353,13536,NaN,13728,13886,14052,14272,14398,14509,14717,14858,14973,15172,15312,15426,15606,15761,15922,16139,16266,16378,16562,NaN,16758,16919,17096,NaN,NaN,17465,17632,17757,17950,NaN,18152,23296,24358,28136
5920.7,6128.6,6277,6620.2,6790.2,6953.8,7102.9,NaN,NaN,7417.5,NaN,7635,7787.5,7931.6,8176.9,8289,8413.4,8572.9,8721.7,8868,9026.2,9189.6,9330,NaN,NaN,9644.8,NaN,9881.2,10026,10178,10422,10538,10659,10821,10974,11115,11274,11451,11585,11743,11900,12050,NaN,NaN,12364,NaN,12582,12736,12885,13173,13315,13478,NaN,13681,13854,13987,14232,14347,14473,14634,14809,14935,15091,15249,15390,15547,15705,15860,16100,16212,16340,16499,NaN,16710,16865,17018,NaN,NaN,17360,17537,17706,17880,NaN,18100,18203,23383,24443,28220
