n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x
1777,1964.6,2126.4,2397.3,2579.6,2711.8,3580.2,3728.4,3855.1,4060.9,4216.1,4338.9,4525.1,4677,4837.7,NaN,NaN,5279.8,5490.4,5605.2,5790.8,5944.9,6110.1,NaN,NaN,6441.2,NaN,6636.4,6795.4
1808.2,2032.5,2174.8,2469.7,2639.8,2815.3,3682.8,3801.9,3970.2,4134,4292.2,4456.4,4623.6,4776.5,NaN,NaN,5089.7,5354.4,5565.4,5726.8,5892.9,6044.8,NaN,NaN,6370.4,NaN,6588.1,6743.4,6895.2
