n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c
2943.4,3121.2,3241.2,3460.8,3649.6,3773.2,3959.8,4113.2,4307.8,NaN,NaN,4646.2,NaN,4842.8,4995.6,5176.2,5396.8,5522.5,5633.1,5836.3,5996.4,6114.6,6335.6,7197.9,7373.7,7730.6,8189.5,8328.2,8442.5,8619.9,8768.6,8927.9,NaN,NaN,9250.3,NaN,9443.7,9600.1,9768.2,9986.8,10111,10223,10421,10564,10676,10853,11004,11167,NaN,NaN,11490,NaN,11684,11839,12033,12245,12376,12487,12671,NaN,12863,13019,13206,13295,13531,NaN,13726,13883,14064,14282,14410,14525,14722,14874,14988,15169,15323,15500,NaN,NaN,15860,16008,16121,16309,16462,16628,16848,16970,17084,17291,17448,17563,17750,NaN,17946,18102,18282,NaN,NaN,18629,NaN,18834
3014.8,3190,3344.1,3530.6,3720.3,3892.4,4060.7,4210.6,NaN,NaN,4564.6,NaN,4792.2,4945.8,5091.2,5356.9,5471.8,5597.5,5756.3,5904.8,6071.4,6232.8,6407.8,7266.1,7597.7,7801.3,8281.4,8403.1,8568.8,8721.8,8865.8,NaN,NaN,9180.1,NaN,9394.4,9551.2,9699.2,9944.9,10058,10187,10340,10495,10640,10794,10954,11101,NaN,NaN,11426,NaN,11635,11788,11937,12210,12319,12457,12607,NaN,12817,12962,13118,13270,13451,NaN,13677,13832,13983,14244,14355,14484,14644,14793,14950,15107,15274,15424,NaN,NaN,15755,15933,16082,16244,16411,16566,16808,16920,17046,17208,17365,17526,17689,NaN,17897,18047,18203,NaN,NaN,18535,NaN,18778,18941
