n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n
1801.7,1977.7,2131.3,2408.1,2577.6,2709.7,2930,3147.6,3266.1,3458.2,3611.2,3769.1,NaN,NaN,4097.6,NaN,4291.6,4450,4631.6,4846.8,4972.6,5085.5,5283.6,5426.1,5541.2,5727.2,5881.9,6047.4,6135.3,6373.6,NaN,6566.9,6724.3,6900.9,7116.6,7244.1,7360.1,7540.9,NaN,7739.1,7897.1,8052.5,NaN,NaN,8406.9,8549.6,8663.3,8869.8,9020.1,9133.9,9345.1,9490.7
1832.4,2039.3,2191.6,2477.1,2640,2814,3003,3221.2,3383.6,3562.7,3705.2,NaN,NaN,4022,NaN,4241.6,4394.4,4546.1,4809.5,4918.2,5048.6,5205.6,5359.2,5503.9,5657.2,5832.9,5979.4,6109,6291.9,NaN,6517.9,6673.4,6819.1,7073.5,7189.1,7321.6,7476.5,NaN,7690.6,7847.4,7995.9,NaN,NaN,8303.7,8475.1,8627.3,8782.5,8952.2,9097.2,9254.7,9416.8,9567.3
