n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e
2486.3,2613.4,2774,2940.3,3081.2,3347,3508.2,3628.8,3814.3,3966.6,4133.3,NaN,NaN,4460.3,NaN,4653.1,4808.6,5022.8,NaN,NaN,5343.9,NaN,5535.5,5690.5,5862.3,6076.3,6204.7,6313.7,6493.1,6645.3,6804.6,NaN,NaN,7163.8,7305.3,7417.4,7724.2,7857.5,7970,8151,8303.1,8472.8,NaN,NaN,8818.2,NaN,9009.8,9169.1,9335.9,9551.7,9668.2,9776.5,9951.3,NaN,10142,10299,10472,NaN,NaN,10824,10988,11102
2524.1,2688.7,2835.7,3003.3,3185,3431.8,3581.9,3742.1,3912.6,4078.1,NaN,NaN,4386.3,NaN,4607.7,4755.7,4905.7,NaN,NaN,5269.5,NaN,5487.2,5640.1,5780.9,6035.5,6147.8,6275.5,6433.9,6597.5,6744.1,NaN,NaN,7126.9,7233.5,7381.8,7538.5,7799.3,7929.3,8095.1,8249.2,8404.3,NaN,NaN,8727.2,NaN,8962.3,9117.5,9264.3,9514,9621.4,9743.1,9895.2,NaN,10096,10245,10397,NaN,NaN,10721,10889,11065,11216
