n,n,n,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n
1799.8,1952.8,2108.6,2360.3,2526.5,2666.7,2898.9,3101.8,3233.7,3523.3,3827.6,3995.9,4112.1,4307,4458.4,4609.7,NaN,NaN,5048.2,5205.6,5319.4,5511.8,5664.8,5825.1,NaN,NaN,6163.6,NaN,6355.7,6508.7,6688.2,6911.4,7040
1857.7,2029.3,2160.6,2441.1,2596.3,2769.8,2968,3174.3,3340.5,3661.3,3903.7,4071,4229.1,4398.8,4553.1,NaN,NaN,4863.8,5124.3,5285.1,5443.3,5615.4,5764,NaN,NaN,6092.9,NaN,6308,6458.4,6607.8,6867.2,6981.3,7114
