n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1959.7,2304.2,2475.2,2607,2891.7,3056.2,3181.5,3381.1,3529.7,3683.4,NaN,NaN,4030.6,NaN,4221.5,4373.2,4546.7,4845.1,4997.6,5108.6,5318.2,5462,5576.7,5777.2,5930.8,6115.8,NaN,NaN
2036.4,2375,2545.4,2719.8,2984.9,3130.7,3303,3480,3626,NaN,NaN,3936.4,NaN,4174.8,4322.1,4473.2,4729.8,4923.8,5075.5,5227.5,5412.4,5542.3,5697.7,5886,6028.3,NaN,NaN,6370.9
