-,-,n,n,-,-,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
1994.3,2976.7,3368.1,3534.4,4610.4,5434.9,5772.5,5934.9,6094.6,6308.3,6471.8,6644,6771.8,7072.9,7249.6,7373.3,7556.8,7711.2,7868.1,NaN,NaN,8195.2,NaN,8392.4,8549.6,8717.5,8930.4,9054.7,9165.4,9347.2,NaN,9540.9,9697.4,9862.2,NaN,NaN,10182,NaN,10378,10534,10703,10916,11044,11159,11361,11521,11636
2050.7,3200.6,3447,3769.1,4658.3,5480.3,5816.1,6016.3,6155.8,6402.1,6541.1,6712.8,6880.6,7151.4,7322.6,7494,7654,7806.9,NaN,NaN,8123.7,NaN,8342.6,8494.5,8646,8893.3,9004.5,9131.6,9289.5,NaN,9491.3,9647.5,9794.7,NaN,NaN,10123,NaN,10329,10483,10631,10880,10990,11119,11279,11432,11596,11756
