n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a
3566.5,3725.4,3885.2,4044.4,4381.3,4552,4667.1,4882.5,5047.1,5166.5,5349.8,5505.7,5664.1,NaN,NaN,5991.8,NaN,6186.9,6343.6,6510,6728.2,6849.4,6962.1,7140.4,NaN,7336.1,7492.5,7672.8,7901.3,8028.4,8141,8348.9,8494.7,8606,8787,8942.9,9104.9,NaN,NaN,9442.2,NaN,9636.6,9795.4,9965.2,10191,10315,10429,10610,NaN,10805,10964,11130,NaN,NaN,11476,11617,11729,11909,12065,12230,12451,12580,12697,12883,NaN,13077,13238,13405,NaN,NaN,13750,13882,13997,14201,14353,14467,14646,NaN,14846,15005,15186,15410,15534,15647,15830,NaN,16026,16187,16356,16576,16703,16816,17033,17282,17421,17532,17719,NaN,17918,18076,18266,18490,18614,18731,18936,19094,19211,19406,NaN,19606,19764,19930,20154,20282,20399,20588
3615.2,3800.7,3947,4106.3,4455.1,4619.3,4780,4955.6,5121.6,5289,5451.3,5602.4,NaN,NaN,5919.5,NaN,6137.4,6290.2,6439.8,6687.2,6801.8,6931,7082.9,NaN,7287.8,7444.9,7593,7858.9,7975.8,8106.3,8263.5,8420,8569.2,8728.8,8894.1,9043.2,NaN,NaN,9358.7,NaN,9589.4,9745.9,9895.2,10146,10266,10391,10547,NaN,10757,10908,11058,NaN,NaN,11386,11547,11698,11838,12012,12162,12414,12526,12655,12822,NaN,13028,13178,13337,NaN,NaN,13658,13838,13964,14123,14276,14434,14613,NaN,14795,14952,15103,15368,15484,15612,15772,NaN,15979,16135,16287,16539,16650,16779,16938,17103,17354,17500,17657,NaN,17868,18018,18176,18450,18562,18692,18857,19012,19173,19334,NaN,19557,19712,19862,20112,20230,20361,20524,20868
