n,n,g,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1839.1,1981.2,2129.8,2779.4,2943,3065.3,3289.2,3587.6,3754.3,3873.4,4057.6,4209.4,4362.9,NaN,NaN,4698.6,NaN,4895.9,5049.8,5220,5443.2,5571.4,5684.2,5889.5,6034.2,6147.9,6331.6,6486.2,6650.4,NaN,NaN,6981.7,NaN,7179.5,7336.8,7509.4,7727.6,7858,7977.9,8160.8,8319.2,8486.3,NaN,NaN,8836.4,NaN,9031.2,9192.7,9383.8,NaN,NaN,9749.8,9894,10005,10218,10354,10471,10656,10811,11008,NaN,NaN,11357,NaN,11556,11823,11961,12076,12256,12410,12580,NaN,NaN,12944,13086,13200,13383,NaN,13579,13741,13916,14138,14266,14382,14562,NaN,14759,14919,15094,NaN,NaN
1893.9,2045.8,2318.8,2847.3,3009,3170.7,3357,3659.6,3826.2,3991.3,4154.2,4328.9,NaN,NaN,4633.4,NaN,4846.2,4997,5159.1,5400.2,5511.6,5647.9,5805.5,5962.4,6107,6274.1,6440.3,6587.5,NaN,NaN,6910.1,NaN,7129.7,7281.8,7438.7,7686.1,7802.1,7937.7,8101.3,8271.3,8419.7,NaN,NaN,8743.5,NaN,8982.1,9141.1,9292,NaN,NaN,9637.3,9820.8,9968.8,10126,10299,10429,10592,10763,10913,NaN,NaN,11270,NaN,11506,11662,11896,12040,12196,12356,12513,NaN,NaN,12845,13017,13165,13323,NaN,13532,13688,13840,14095,14214,14343,14502,NaN,14714,14873,15019,NaN,NaN,15354
