e,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c
1989.9,2069.2,2240.8,2418.8,2642.6,2813,2981.9,3127.7,4065.7,4179.4,4334,4535.7,4698.3,4810.4,4987.9,5140.4,5303.9,NaN,NaN,5625.1,NaN,5822.7,5976.6,6146,6357.7,6476.3,6587.9,6789.8,6934.3,7045.7,7221.6,NaN,7418.2,7575.9,7745.1,7961.6,8089.4,8200.7,8456.9,8609,8723,8906.4,9060.3,9218.8,NaN,NaN,9570.1,9709.4,9823.8,10005,10157,10340,NaN,NaN,10701,10838,10954,11143,NaN,11338,11494,11667,11883,12008,12120,12304,NaN,12503,12663,12853,NaN,NaN,13301,13462,13575,13759,NaN,13959
2024,2138.1,2311.2,2481.7,2716.9,2876,3043.7,3230.6,4131.2,4281.9,4442.8,4604.2,4770.8,4925.6,5087.9,5237.7,NaN,NaN,5558.6,NaN,5771.9,5919.2,6074.8,6321.5,6429.6,6556.8,6710.7,6863,7009.7,7163.4,NaN,7369.2,7518.3,7676.1,7923.5,8033.3,8165.3,8315.9,8530.8,8685.5,8840.2,9000,9158.8,NaN,NaN,9471.6,9640.8,9787,9945.2,10100,10257,NaN,NaN,10595,10781,10911,11076,NaN,11285,11441,11598,11847,11957,12084,12241,NaN,12453,12604,12764,NaN,NaN,13099,13368,13536,13698,NaN,13908,14040
