n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1620,1771,1956.1,2109.4,2378.4,2668.1,3144.2,3306.7,3473.1,3788.5,3972.8,4120.5,4352.2,4652.9,4835.4,4968.9,5285.6,5469.7,5598.6,5802,5957.6,6111.9,NaN,NaN,6764,6920.1,7038.2,7235.3,7388.9,7558.7,7778.2,7901.4,8017.7,8206,NaN,8400.1,8556.3,8740.8,8960.9,9085.2,9200.7,9409,9570.3,9686.4,9880.6,10033,10194,NaN,NaN,10530,NaN,10729,10887,11069,11289,11415,11539,11750,11891,12002,12183,NaN,12380,12538,12707,NaN,NaN,13062,NaN,13256,13415,13608,13826,13952,14066,14253,NaN,14447,14608,14779,NaN,NaN,15131,15282,15405,15612,NaN,15812,15968,16158,16384,16515,16632,16818,NaN,17018,17184,17393,NaN,NaN
1656.4,1835.4,2014.2,2165,2447.5,2730.5,3211.8,3382.2,3532.2,3870.6,4042.4,4178.9,4419.1,4723.6,4901,5074.7,5355.9,5545.3,5715.6,5900.5,6049.9,NaN,NaN,6367.4,6834.6,6995.3,7159.2,7337.2,7487,7734,7850.8,7979.8,8139.3,NaN,8351.2,8508.7,8664.7,8921.8,9043.6,9164.6,9323.6,9480.2,9648.2,9807.9,9981.9,10129,NaN,NaN,10455,NaN,10678,10829,10988,11250,11362,11492,11660,11824,11970,12125,NaN,12330,12481,12636,NaN,NaN,12968,NaN,13205,13365,13518,13787,13912,14034,14190,NaN,14398,14560,14709,NaN,NaN,15036,15201,15362,15529,NaN,15760,15910,16070,16338,16459,16596,16754,NaN,16966,17129,17285,NaN,NaN,17647
