n,n,e,n,n,e,c,x,d,m,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p
1984.5,2180.3,2301.4,2706.2,2881.4,3002.6,3203.7,3350.2,3520.9,3599.3,4085,4253.8,4372.1,4567.1,4718.6,4877.5,NaN,NaN,5203.3,NaN,5395.4,5550.9,5722.5,5934.4,6060.3,6172.9,6378.3,6516.2,6628.1,6805.2,6957.1,7121.3,NaN,NaN,7472.8,NaN,7662.6,7818,7990.6,8207.1,8330,8444.2,8642.3,8787.4,8897.9,9095.1,9246,9412,NaN,NaN,9762,9902.8,10015,10252,10429,10540,10723,10876,11036,NaN,NaN
2052.9,2267.1,2408.4,2776,2945.4,3120.5,3289.7,3447.6,3574.3,3665.6,4162.4,4325.3,4491.6,4665.5,4813.4,NaN,NaN,5134.3,NaN,5347.7,5503.1,5644.7,5895.9,6021.3,6140.2,6290.7,6459.6,6589.9,6761.3,6906.1,7055.2,NaN,NaN,7373,NaN,7620.2,7765.7,7915.7,8166.9,8278.3,8404.8,8566.2,8715.1,8860.6,9033.4,9199.3,9345.8,NaN,NaN,9665.6,9830.5,9982.4,10137,10322,10505,10661,10822,10976,NaN,NaN,11294
