-,-,n,n,n,-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,-,-
1961.9,2790.6,3259.2,3363.4,3548.3,3830.4,4481.8,4642.6,4764,4964.2,5134.1,5249.1,5432.8,5582.1,5731.8,NaN,NaN,6054.1,NaN,6241,6392.4,6557.2,6767.9,6887.9,6998,7181.5,7331.4,7485.4,NaN,NaN,7805.6,NaN,7995.9,8151.5,8313.9,8522.3,8646.5,8759.9,8962.1,9094.1,9203.7,9380.6,9534.7,9692.7,NaN,NaN,10013,NaN,10208,10367,10532,10746,10873,10985,11164,NaN,11355,11510,11677,NaN,NaN,12030,12170,12283,12475,12624,12801,13018,13145,13259,13488,13640,13751,13988,14131,14242,14420,14573,14768,NaN,NaN,15127,15395,16272
2156.4,2925.5,3316.2,3468.9,3625.1,3944.6,4550.3,4714.3,4873.9,5036.9,5204.4,5363.8,5531.8,5679.4,NaN,NaN,5981.8,NaN,6194.7,6340.2,6486.1,6730.3,6839.4,6962.5,7115.2,7285.1,7430.3,NaN,NaN,7741.1,NaN,7951.2,8101.2,8248.6,8491.9,8593.3,8722.5,8879.6,9033,9169.6,9322.2,9487.5,9630.2,NaN,NaN,9941.4,NaN,10158,10316,10465,10710,10820,10948,11106,NaN,11310,11462,11610,NaN,NaN,11931,12097,12245,12405,12574,12723,12982,13093,13220,13378,13559,13715,13872,14057,14203,14362,14516,14675,NaN,NaN,15018,15199,15470,16364
