n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g
1990.9,2150,2279.6,2529.2,2706.5,2829.2,3013,3167.9,3348.4,NaN,NaN,3677.7,NaN,3874,4030.7,4198,4411.8,4537.6,4651.1,4835.6,4992,5166.5,NaN,NaN,5505.9,NaN,5700.4,5858,6033,6253.6,6376.5,6492.7,6699.2,6846.1,6959,7140.1,7292,7466.8,NaN,NaN,7800.9,NaN,7996.6,8158.1,8329
2056.8,2217.1,2388.8,2598.5,2781.8,2942.8,3113,3260.9,NaN,NaN,3605.9,NaN,3827.4,3980.4,4123,4373.8,4485.4,4614.2,4773.8,4938.5,5092.1,NaN,NaN,5424.9,NaN,5653.6,5798.5,5953.8,6211.4,6325.1,6454.6,6617.1,6775.4,6922.5,7077.9,7259.5,7390.4,NaN,NaN,7726.8,NaN,7947.1,8108.7,8254.9,8511
