n,n,n,e,n,n,e,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n
2240.5,2380.4,2673.5,2808.8,3088.2,3265.6,3392.3,3666.5,3968.3,4165.1,4320.9,4480,NaN,NaN,4815.7,NaN,5012.6,5168.8,5346.4,5561.2,5691.5,5806.3,6008.1,6148.3,6265.8,6453.9,6609.2,6769.5,NaN,NaN,7095.6,NaN,7291,7451.1,7625.3,7847.3,7974,8084.8,8294.5,8439.1,8554.2,8735.1,8891.1,9057.3,NaN,NaN,9406.2
2295.1,2591.4,2739.1,2912.2,3161.5,3334.4,3502.2,3914.6,4089.4,4271.6,4423.6,NaN,NaN,4734.7,NaN,4963.5,5112.8,5267.9,5522,5637.3,5772.7,5928.6,6092.4,6222.6,6388,6558.1,6710.2,NaN,NaN,7022.5,NaN,7243.8,7390.2,7552.8,7801.7,7918.1,8045.3,8204.2,8365.6,8515.5,8674,8833.7,8990.7,NaN,NaN,9312.6,9475.7
