n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,d,m,p,c,x,d,m,p,a,b,c,x,g,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a
3496.6,3680.2,3808.9,4047.5,4228.4,4355.9,4551.1,4708.8,4864.3,NaN,NaN,5198.4,NaN,5395.9,5553.6,5731.1,5959.1,6090,6202.4,6391.6,NaN,6595.6,6755.9,6918,NaN,NaN,7255,NaN,7453.2,7616.7,7785.9,8011.1,8142,NaN,NaN,8449.8,8607.3,8774.8,NaN,NaN,9109.2,NaN,9309.3,9469.6,9660.1,9968.9,10121,10420,10581,10746,NaN,NaN,11145,11292,11406,11597,11758,11929,NaN,NaN,12275
3576.4,3752,3926.8,4123.3,4307.3,4478.5,4654.9,4809.5,NaN,NaN,5125.5,NaN,5348.3,5514.8,5654.2,5916.9,6057.3,6164.4,6323.7,NaN,6543,6707.4,6874.6,NaN,NaN,7188.1,NaN,7406,7567.2,7729.6,7973.6,8110.7,NaN,NaN,8398.6,8572,8721.1,NaN,NaN,9036.4,NaN,9262.4,9413.8,9582.5,9846.9,10042,10374,10546,10703,NaN,NaN,11012,11221,11376,11531,11707,11872,NaN,NaN,12192,12427
