n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
2343.4,2489.6,2656.9,2823.6,2987.3,4205.4,4431.1,4579.1,4795.8,4950.9,5068.4,5259.5,5413.6,5587.8,NaN,NaN,5922,NaN,6118.1,6274,6456.8,6670,6798.7,6911.2,7115.9,7253.7,7368.8,7551,7705.7,7880.5,NaN,NaN
2409.6,2571.5,2720,2885.9,3088.5,4321,4493.9,4685.3,4890.3,5026.8,5188.6,5363.7,5511.1,NaN,NaN,5847.3,NaN,6070.7,6222.9,6372.3,6634.8,6743.6,6872.2,7036.5,7201.7,7331.5,7489.1,7657.2,7806.2,NaN,NaN,8135.6
