-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n
1988.5,2617.5,2792.4,2908.8,3130.7,3295.3,3418.5,3618.1,3770.7,3928.8,NaN,NaN,4254.3,NaN,4448.7,4604.9,4765.4,4982.6,5106.1,5216,5399.5,5558.5,5717.5,NaN,NaN,6044.2,NaN,6238.1,6396.1,6559.2,6781.2,6908.3,7022,7208.9,NaN,7403.6,7562.8,7727.1,NaN,NaN,8089.9,8230.4,8344.2,8526.2,8683.2,8856.5,9073.1,9197.5,9308.6,9491.8,NaN,9691.4,9852.3,10064,NaN,NaN,10422,10566,10681,10879,11031,11148,11330,11488,11667,NaN,NaN,12028,12177,12291,12490,NaN,12685,12845,13029,13249,13381,13499,13726
2063.9,2689.6,2862.2,3020.4,3208.6,3375.4,3537.8,3717.5,3868.5,NaN,NaN,4191.8,NaN,4404.2,4551.4,4702.5,4948.8,5056.6,5182.5,5334.8,5505.5,5658,NaN,NaN,5982,NaN,6188.7,6343.8,6491,6738.6,6853.6,6983.5,7150.5,NaN,7358.1,7511.9,7659.8,NaN,NaN,7987.7,8176.2,8305.3,8469,8633.7,8780.2,9031.8,9147,9272.8,9429.2,NaN,9641.8,9800.8,9949.4,NaN,NaN,10331,10510,10643,10805,10956,11108,11270,11429,11586,NaN,NaN,11929,12117,12255,12414,NaN,12635,12784,12947,13209,13321,13457,13619,13799
