n,g,n,n,n,n,n,e,n,n,G,n,d,m,p,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n
3775.4,3907.3,4170.2,4332.4,4477.6,4645.8,4873.7,5158.6,5702.2,5868.4,6011.8,6290.2,6452.9,NaN,NaN,6827.8,7112.7,7295,7445.8,7604.3,7689.4,7912.6,NaN,8103.5,8251.9,8415.3,8627,8746.5,8855.9,9055.1,9194.3,9303.3,9513.8,9657.5,9765.2,9938.2,10089,10247,NaN,NaN,10581,NaN,10772,10926,11096,11314,11434,11544,11757,11904,12017,12216,12372,12487,12675,12832,12994,NaN,NaN,13320,NaN,13517,13671,13843,14054,14176,14288,14495,14637,14747,14950,15108,15223,15408,15563,15752,NaN,NaN,16080,NaN,16273,16434,16599,16811,16937,17050,17262,17417,17531,17711,NaN,17907,18067,18280,NaN,NaN,18638
3822.9,4084.1,4227.6,4408.3,4547.1,4708.8,5099.9,5271.5,5801.5,5937.5,6216.4,6362.2,NaN,NaN,6722.4,7067.7,7229.6,7395.3,7540.9,7663.5,7844,NaN,8054.6,8199.1,8347.2,8591.3,8697.2,8823.9,8974.3,9125.6,9265.5,9425.5,9581.9,9732.4,9882.7,10039,10185,NaN,NaN,10501,NaN,10725,10871,11024,11271,11381,11506,11662,11826,11979,12139,12286,12447,12606,12775,12931,NaN,NaN,13249,NaN,13462,13594,13764,14016,14125,14248,14406,14577,14711,14867,15024,15179,15344,15507,15661,NaN,NaN,16011,NaN,16226,16373,16533,16773,16882,17011,17169,17334,17492,17650,NaN,17854,18006,18165,NaN,NaN,18539,18709
