n,n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,a,b,c,n,n,e,c,x,d,m,p,a,b,c,x,e,n,n,e,a,b,c,x,g,n,n,e
1818.5,1966.7,2132,2379,2668.2,2849.6,2991.5,3703.3,3887.7,4025.2,4314.2,4513,4637.6,4862.6,5029.8,5149.7,5342.7,5493.5,5660.1,NaN,NaN,5999.2,NaN,6199.5,6356.2,6542.9,6768.2,6900.4,7019.2,7227.7,7374.6,7489.9,7682.2,7836.4,7996.5,NaN,NaN,8330,NaN,8532.8,8687.2,8868.3,9089.9,9220.2,9336,9540.4,9692.2,9806.4,9987.9,10145,10309,NaN,NaN,10668,10831,10952,11166,11314,11429,11610,NaN,11812,12082,12222,12334,12521,12678,12856,NaN,NaN,13195,NaN,13393,13556,13832,13975,14102,14218,14407,NaN,14605,14767,14937,15157,15294,15422
1855.1,2031.3,2165.1,2427.8,2736.4,2908.8,3096,3773,3952.7,4132.8,4383.7,4585.6,4750.6,4933.1,5102.4,5268.3,5442.2,5595.6,NaN,NaN,5913.6,NaN,6146.7,6307,6458,6729.7,6855.2,6978,7138,7302,7452.1,7614.8,7786.2,7938.6,NaN,NaN,8256.1,NaN,8482.2,8635.3,8785.2,9049.9,9168.1,9295.9,9456.5,9614.4,9769.7,9926.8,10093,10248,NaN,NaN,10565,10738,10910,11072,11238,11392,11550,NaN,11759,11919,12154,12299,12454,12623,12779,NaN,NaN,13112,NaN,13343,13498,13659,13940,14049,14180,14341,NaN,14554,14711,14867,15119,15231,15372,15544
