n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,d,m,p,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1989.6,2253.6,2878,3852.8,4134.6,4320.7,4458.7,4704.4,4917,5045,5299.2,5478,5602.2,5801,5954.8,6113.7,NaN,NaN,6450.2,NaN,6647.3,6806.2,7013.6,NaN,NaN,7358.3,NaN,7560.5,7721.7,7900.5,8120.7,8251.3,8368.2,8552.7,NaN,8753.3,8912.9,9084.8,9309.4,9443.4,9562.9,9751.6,NaN,9951.5,10114,10288,NaN,NaN,10621,NaN,10821,10982,11161,11387,11521,11642,11851,11998,12112,12322,12471,NaN,NaN,12774,12928,13107,NaN,NaN,13462,NaN,13661,13828,13993,14220,14357,14474,14668,NaN,14876,15046
2068.4,2328.6,2949.9,3926.6,4215.6,4393,4584.2,4779.3,4991.3,5162.4,5375,5556.3,5722.7,5907.1,6056.7,NaN,NaN,6389.3,NaN,6597.8,6750.4,6909,NaN,NaN,7272,NaN,7509.9,7666.5,7821,8082.9,8216.8,8339.1,8484.6,NaN,8706.1,8859.3,9027.2,9267.8,9403.7,9530.6,9699.1,NaN,9901.9,10062,10215,NaN,NaN,10565,NaN,10769,10924,11083,11347,11483,11611,11766,11940,12072,12233,12409,NaN,NaN,12722,12890,13032,NaN,NaN,13397,NaN,13609,13769,13931,14176,14323,14438,14600,NaN,14821,14986,15149
