n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p
2866.4,2993.5,3150,3301.2,3437.5,3715.1,3904.2,4037.4,4260.1,4430.6,4555.8,4749.1,4904,5074.2,NaN,NaN,5415.2,NaN,5612.5,5767.9,5938.2,6158.4,6286,6400.5,6604.5,6753.3,6883.1,7074.2,7226.8,7391.2,NaN,NaN,7720.8,NaN,7917.6,8075.2,8235.4,8456.4,8583.5,8695.8,8877.8,NaN,9075.5,9233.9,9431.9,NaN,NaN,9774.9,9914.3,10029,10210,10363,10527,10744,10864,10979,11190,11340,11452,11638,NaN,11833,11991,12173,NaN,NaN,12542,12684,12799,12984,13138,13301,NaN,NaN,13639,NaN,13836,13994,14182,14403,14529,14642,14849,15008,15124,15317,NaN,15514,15674,15846,16066,16194,NaN,NaN,16490,NaN,16686,16846,17012,17237,17369,17488,17705,17858,17973,18160,18322,18495,NaN,NaN,18849,19000,19115,19298,NaN,19499,19659,19847,NaN,NaN
2915.6,3068.2,3216,3364.6,3543.6,3787.8,3973,4145.4,4334.6,4505.8,4676.6,4848.4,5001.8,NaN,NaN,5338.2,NaN,5562.4,5709.5,5863.8,6120.9,6235.2,6362,6518.5,6691.4,6829.1,7007.7,7172.3,7328.1,NaN,NaN,7649.3,NaN,7867.8,8021.5,8171,8418.3,8530.8,8659.2,8815.6,NaN,9027.2,9179.7,9333.2,NaN,NaN,9695.3,9844.9,9990.2,10150,10313,10463,10706,10820,10942,11103,11263,11418,11577,NaN,11785,11936,12088,NaN,NaN,12424,12636,12767,12926,13089,13238,NaN,NaN,13558,NaN,13786,13936,14095,14363,14476,14605,14765,14925,15084,15249,NaN,15465,15642,15775,16027,16144,NaN,NaN,16452,NaN,16640,16794,16946,17198,17313,17447,17614,17781,17938,18095,18268,18421,NaN,NaN,18754,18921,19080,19240,NaN,19447,19610,19761,NaN,NaN,20109
