n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,n,n,n,n
1805.4,1954,2108.3,2266.1,2389.1,3052.9,3213.4,3330.8,3540.8,3688.2,3801,3980.7,4128.4,4290.7,NaN,NaN,4608.1,NaN,4801.9,4953.3,5122.7,5335.6,5465.4,5576.2,5786.5,5932.2,6044.2,7069.3,7242.7,7351.2,7565,7691.1,7839.4,8017.3,8166.9,8334.8,NaN,NaN,8685,NaN,8876.5,9032.1,9201,9418.4,9544.1,9657,9847.8,9992.9,10108,10290,10444,10607,NaN,NaN,10940,NaN,11137,11306,11490,11711,11836,11951,12168,12341,12456,12662,12814,12982,NaN,NaN,13315,NaN,13510,13671,13888,NaN,NaN,14258,14406,14519,14728,14950,15120,15329,15492,15611,15838,16248,16471,16630
1850.8,2023.3,2175.4,2334,2498.2,3121.5,3287.4,3447.1,3610.7,3761,3916.5,4081.3,4225.5,NaN,NaN,4541.5,NaN,4755.2,4900.8,5050.3,5299.4,5410,5539.3,5694.5,5856.3,6011.6,6106.4,7140.4,7318.5,7473.3,7642.6,7793.9,7956.5,8118.1,8264.2,NaN,NaN,8587.1,NaN,8832.6,8985.9,9130.1,9380.6,9488.7,9616.8,9784.2,9955.7,10071,10234,10394,10546,NaN,NaN,10861,NaN,11085,11244,11405,11665,11783,11914,12073,12236,12418,12573,12756,12910,NaN,NaN,13237,NaN,13460,13610,13769,NaN,NaN,14142,14332,14482,14640,14802,15011,15232,15402,15569,15737,15906,16365,16541,16761
