-,-,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,-
1056.7,1987.8,2323.8,2492.5,2613.9,3081.9,3254.5,3380.7,3600.3,3778.1,3906.5,4093.6,4245.6,4401.5,NaN,NaN,4750.3,NaN,4941.2,5098.5,5271.5,5489,5616.7,5737.3,5943,6079.6,6197.6,6376.3,6531.2,6686.8,NaN,NaN,7013.7,NaN,7209.3,7366.3,7544.1,7754.7,7878.9,7991.4,8177.3,NaN,8375.3,8532.1,8709.1,8926.2,9051.2,9165.2,9348.8,NaN,9550.3,9719.9,9896.7,10190,10329,10437,10622,10779,10942,NaN,NaN,11294,NaN,11490,11647,11833,12052,12325
1091.2,2049.8,2396.4,2557.9,2720.6,3154.5,3323.5,3498.5,3671.3,3848.5,4023.2,4195.1,4347.3,NaN,NaN,4663.7,NaN,4895.2,5049.1,5192,5445.4,5561.5,5694.7,5852.4,6021.5,6155.7,6315.2,6485.2,6631.6,NaN,NaN,6947.9,NaN,7161.4,7308,7465.2,7716.1,7824.8,7954.3,8116.9,NaN,8329.6,8483.4,8631.2,8886,9008.8,9125.6,9285.4,NaN,9497.6,9660,9819.4,10075,10263,10405,10558,10724,10876,NaN,NaN,11261,NaN,11441,11598,11748,12015,12127,12393
