n,n,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n
1957.5,2172.1,2331.9,2504.9,2641.2,3652,3824.1,3957.1,4200.5,4557.3,4743.4,4864.8,5061.7,5213.2,5365.2,NaN,NaN,5688.8,NaN,5881.5,6035.7,6196.9,6416.3,6542.7,6654.7,6862.4,7003.2,7114.2,7292.5,7444.4,7602.9,NaN,NaN,7944.7,NaN,8139.1,8296.4,8467.7,8682.9,8811.3,8922.4,9119,9262.2,9376.5,9554.8,9710.9,9873.8,NaN,NaN,10211,NaN,10406,10562,10738,10952,11079,11193,11404,11550,11668,11853,12006,12134,NaN,NaN,12516,NaN,12710,12865,13034,13251,13381,13492,13672,NaN,13868,14027,14191,14416,14588,14727,14839,15055,15207,15325,15513,15667,15846,NaN,NaN,16220,NaN,16419,16589,16785,17006,17129,17242,17425,NaN,17627,17791,17980,NaN,NaN,18347,18574
2013.2,2239.7,2393.5,2576.4,2746.5,3723.2,3887.2,4060.3,4272.3,4632.5,4815.9,4982.4,5160.3,5308.3,NaN,NaN,5616.8,NaN,5833,5984.5,6131.2,6380.6,6489.7,6618.3,6776.3,6934.5,7078.6,7233.7,7390,7542.9,NaN,NaN,7843.7,NaN,8093.4,8237.8,8396.2,8642.7,8755.6,8886.8,9048,9189.9,9339.6,9497,9659.5,9811.1,NaN,NaN,10133,NaN,10361,10510,10662,10915,11027,11158,11316,11475,11627,11787,11954,12102,NaN,NaN,12436,NaN,12662,12814,12964,13214,13325,13455,13616,NaN,13818,13968,14130,14372,14471,14657,14805,14960,15134,15284,15447,15616,15771,NaN,NaN,16105,NaN,16369,16526,16687,16962,17081,17205,17366,NaN,17576,17735,17890,NaN,NaN,18235,18419,18642
