-,g,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n
1052.5,1657.9,1838.4,1989,2163.9,2298.2,2897.7,3069.8,3192.8,3403.7,3530.6,3691.6,3875.5,4028.3,4188.4,NaN,NaN,4523.4,NaN,4717.8,4872.8,5042.3,5262.2,5387.9,5501,5704.7,5856.2,5976.8,6157,6310.8,6472.3,NaN,NaN,6800.6,NaN,6998.4,7154.1,7329.6,7551.1,7678.2,7790.6,7999.9,8140.3,8253.2,8433.5,8587,8752.1,NaN,NaN,9087.8,NaN,9282.1,9443,9631.5,9851.1,9976.6,10091,10275,NaN,10473,10629,10813,NaN,NaN,11170,NaN,11365,11523,11689,11912,12041,12156,12363,12501,12619,12808,12965,13144,13362,13590,13734,13846,14038,NaN,14236,14396,14592,NaN,NaN,14969,15114,15230,15444,15637,15749,15974,16097
1094,1706.5,1900.4,2055.8,2226.4,2404.6,2966.8,3139.2,3320.4,3476.2,3639.4,3815.5,3973.1,4128.4,NaN,NaN,4444.7,NaN,4670.8,4824.1,4971.9,5224.4,5336.9,5468.2,5625.5,5779.5,5935.5,6097.7,6258.5,6412.6,NaN,NaN,6728.8,NaN,6952.3,7104.1,7256.2,7511.5,7623.6,7755.5,7914.1,8074.6,8219.1,8374.9,8540.5,8686.2,NaN,NaN,9010.3,NaN,9233.5,9388,9546.1,9812.5,9930.1,10056,10216,NaN,10424,10576,10732,NaN,NaN,11072,NaN,11316,11473,11621,11871,11984,12119,12278,12433,12579,12742,12916,13068,13326,13438,13662,13813,13972,NaN,14186,14342,14497,NaN,NaN,14868,15041,15189,15355,15518,15714,15873,16049,16134
