n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,n,n,e,c,x,d,m,p,a,b,c
2570,2718.2,2866.2,3047.8,3156.1,3471.8,3650.4,3767.8,3950.4,4098.2,4269.6,NaN,NaN,4596,NaN,4788.4,4943.4,5107.2,5322.8,5445.4,5557.1,5752.6,5889.2,6003,6189.1,6342.3,6498.2,NaN,NaN,6822.8,NaN,7019.5,7174.4,7342,7563.3,7688.3,7800.1,8002.6,8140.4,8251.2,8429.8,8583.7,8745.2,NaN,NaN,9073.7,NaN,9266.8,9426.8,9602.5,9826.7,9953.4,10067,10251,NaN,10447,10687,10846,10964,11154,11310,11497,NaN,NaN,11842,NaN,12040
2609.9,2792.1,2937.7,3111.2,3270,3541.1,3722.6,3884.9,4051,4194.6,NaN,NaN,4529,NaN,4741.5,4895.1,5042.4,5287.3,5393.8,5517.2,5674,5836.2,5964.9,6127,6293.3,6442,NaN,NaN,6750.1,NaN,6970,7125.3,7271.6,7520.6,7636.8,7760.6,7918.2,8074.1,8215.1,8369.9,8534.6,8685.8,NaN,NaN,9000.8,NaN,9218.7,9374.7,9527.9,9787.7,9900.9,10035,10190,NaN,10397,10533,10769,10919,11083,11253,11409,NaN,NaN,11752,NaN,11987,12149
