n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,n,e,c,x,g,n,n,n,n,e,a,b,c,x,d,m,p,n
1845.9,1982.9,2128.2,2298.9,2413.3,2845.8,3011.6,3135,3330.1,3481.3,3647.8,NaN,NaN,3973.2,NaN,4169.9,4324.4,4486.8,4703.4,4828.4,4942.1,5142.8,5292.3,5408.1,5590.4,5744,5910.3,NaN,NaN,6249.5,NaN,6446.7,6709.3,6847.8,6960.9,7145.6,7301.1,7478.8,7698,7823,8040.7,8215.2,8327.8,8511.8,NaN,8711.8,8871.1,9048.8,NaN,NaN,9439
1891.9,2053.9,2194.1,2365.4,2518.1,2917,3086.9,3250.6,3426.3,3579.8,NaN,NaN,3900.2,NaN,4123.6,4273.2,4421.3,4667,4776.4,4905.2,5075.4,5214.9,5369.1,5529.1,5689.5,5842.7,NaN,NaN,6164.6,NaN,6396.7,6551.7,6780.6,6920.5,7082.1,7247.2,7402.3,7656.9,7770.6,7896.7,8113.3,8292.1,8450.3,NaN,8657.2,8816.6,8971.2,NaN,NaN,9310.9,9507.3
