n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1814.5,1972.8,2138.8,2300.3,2440,3092.1,3277.8,3414.4,3646.2,3833.8,3964.7,4172.9,4327.8,4494.6,NaN,NaN,4832.5,NaN,5034,5192,5377.8,5600.5,5725.8,5844.7,6049.5,6241.3,6353.8,6573.6,6743.6,6859.7,7053.5,7207.7,7374,NaN,NaN,7706,NaN,7904.7,8062.1,8242.7,8464.7,8591.9,8703.1,8915.9,9077.6,9192.2,9380.8,NaN,9580,9740.2,9928.7,NaN,NaN,10271,NaN,10468,10629,10822,NaN,NaN,11183,11328,11444,11649,11816,11936,12129,12284,12459,12682,12809,12923,13103,NaN,13301,13465,13639,NaN,NaN,14002
1872.4,2056.8,2205.3,2359.8,2542.6,3161.4,3344.1,3519,3715.5,3906,4086.2,4272.3,4426.5,NaN,NaN,4750.4,NaN,4979.9,5134.5,5291.3,5555.7,5672.8,5802.4,5966.4,6121.5,6319.8,6475.7,6644.1,6821,6981.4,7155.5,7306.1,NaN,NaN,7629.5,NaN,7852.9,8009.3,8159.2,8419.1,8536.3,8663.1,8824,8988.8,9154.1,9315.6,NaN,9530.7,9688.8,9836.9,NaN,NaN,10187,NaN,10417,10573,10726,NaN,NaN,11077,11252,11407,11565,11722,11893,12059,12230,12384,12636,12756,12884,13040,NaN,13253,13408,13568,NaN,NaN,13898,14071
