n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,n,e
1996.4,2153.3,2290.5,2550.2,2731.9,2858.5,3055.9,3211.6,3380.3,NaN,NaN,3715.7,NaN,3915.1,4069.8,4239.7,4461,4588.2,4737.8,4950,5108.2,5225.4,5421.1,5577.4,5737.6,NaN,NaN,6076.7,NaN,6277.1,6436.5,6630.4,6854.3,6978.2,7091.9,7278.4,NaN,7477,7638.2,7805.1,NaN,NaN,8162.8,8305.4,8419.9,8607.6,8764.5,8941.2,9160.8,9288.3,9401.9,9589,NaN,9785.6,9946.7,10121,10345,10473,10588,10778,NaN,10976,11135,11340,11433
2066.7,2224.5,2402.2,2621.6,2802.3,2974.8,3157.7,3309.2,NaN,NaN,3641.7,NaN,3866.2,4016.9,4167.5,4417.1,4539.6,4663.8,4858.8,5031.8,5180.9,5344.8,5527.8,5675.2,NaN,NaN,5997.9,NaN,6227.8,6404.6,6537,6813.7,6938.4,7061.6,7220.4,NaN,7427.8,7587.4,7735.4,NaN,NaN,8068.7,8250.7,8380.3,8555.3,8712.7,8864.8,9123.2,9250.2,9364.7,9522.5,NaN,9737,9890.6,10047,10303,10436,10558,10705,NaN,10930,11102,11235,11407,11490
