n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,d,m,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1974,2129.1,2254.4,2520.2,2694.1,2822.7,3013,3167.5,3349.4,NaN,NaN,3694,NaN,3896.8,4052,4231.2,4449.8,4581.8,4696.8,4898.9,5042.8,5157.9,5346.4,5500.8,5672.2,NaN,NaN,6005.4,NaN,6200.3,6357.8,6531.2,6746.2,6876.3,6989.3,7178.9,7240.2,7350.2,7502.2,7613,7795.2,NaN,7991.6,8150.4,8321,8537.4,8663.9,8776.9,8960.9,NaN,9158.2,9316.9,9497,9718.8,9840.5,9954.8,10135,NaN,10332,10494,10686,10907,11032,11148,11360,11503,11616,11803,11959,12132,NaN,NaN,12462,NaN,12661,12823,12991,13210,13340,13457,13647,NaN,13847,14008,14199,NaN,NaN,14554,14692,14807,14993,15151,15349,NaN,NaN,15684,NaN,15883,16049,16248,16465,16597,16713,16897,NaN,17101,17262,17474,NaN,NaN
2044.3,2195.7,2354.2,2607.2,2767.3,2944.8,3112.8,3263.7,NaN,NaN,3611,NaN,3845.5,3996.3,4145.1,4408.6,4522.7,4660.1,4817.5,4970.8,5120.2,5278.8,5448.2,5599,NaN,NaN,5931.8,NaN,6150.6,6303,6456.6,6710.3,6817.1,6955,7109.2,7224.1,7276.3,7430.1,7580.7,7736.4,NaN,7942.3,8092.1,8246.6,8496.6,8608.4,8741.7,8900,NaN,9109.7,9259.9,9414.2,9678.3,9803.4,9920.4,10081,NaN,10284,10435,10593,10863,10979,11106,11269,11432,11581,11737,11909,12058,NaN,NaN,12388,NaN,12612,12762,12919,13175,13282,13416,13578,NaN,13798,13950,14108,NaN,NaN,14453,14622,14766,14929,15098,15250,NaN,NaN,15611,NaN,15832,15993,16147,16423,16538,16676,16833,NaN,17052,17210,17360,NaN,NaN,17732
