n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1983,2143.9,2278.6,2496.3,2690,2814.5,3019.1,3167,3290.2,3476.1,3626,3783.9,NaN,NaN,4117.9,NaN,4312.4,4468.6,4639.4,4857.7,4985.4,5098.3,5302.9,5449.3,5564.4,5745.6,5895.9,6053.5,NaN,NaN,6378.2,NaN,6573.7,6733.5,6901.4,7118,7241.4,7357.9,7575.6
2044.7,2210.7,2380.3,2566.2,2760.9,2928.6,3091.7,3241.7,3406.2,3576.7,3725,NaN,NaN,4035.7,NaN,4262.1,4418.9,4563.4,4816.8,4928.6,5058.4,5218.2,5383.8,5520.7,5686.9,5845.1,5992.2,NaN,NaN,6305.7,NaN,6525.9,6674.7,6829.4,7080.1,7209.6,7319,7477.2,7645.9
