n,n,n,n,e,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e
1776.8,1958.4,2130.1,2301.2,2453.9,2895.9,3091.9,3229.8,3402,3516.2,3715.2,3863.1,4025.8,NaN,NaN,4358.7,NaN,4552.6,4704.7,4878.3,5095.8,5217.2,5327.7,5526,5677.1,5844.8,NaN,NaN,6169.2,NaN,6363.2,6518.6,6689.2,6906.4,7027.3,7139.1,7347.2,7512.2,7635.2,7823.7,7975.4,8138.8,NaN,NaN,8478.7,NaN,8691.6,8853.7,9016.9,9236.8,9364.3,9476.2,9674.6,9820.9,9932.3,10139,10287,10400,10607,10767,10880
1832.6,2029.7,2200.7,2367.5,2559.6,2965.7,3129.4,3300.2,3471.3,3634.4,3809,3958.2,NaN,NaN,4279.9,NaN,4503.4,4655.5,4807.3,5055,5183,5291.7,5447,5626.4,5774,NaN,NaN,6096.8,NaN,6314.9,6469.8,6618.5,6868.9,6995.8,7102.4,7262.9,7419.3,7592.6,7758.7,7928.1,8074.8,NaN,NaN,8392.8,NaN,8626.1,8801.9,8952.1,9200.8,9310.4,9441.6,9598.6,9748.2,9900.2,10052,10211,10366,10521,10681,10844,11006
