-,n,n,n,n,n,e,n,n,e,-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,d,m,p,a,x,g,n,n,e,a,b,c,x
1739.5,1960.4,2135.8,2280.4,2570.5,2746.3,2868.5,3074,3254.1,3374.5,3695.7,4263.5,4426.4,4539.3,4742.9,4918.3,5032,5208.9,5361.9,5516.2,NaN,NaN,5837.7,NaN,6029.1,6180.4,6339.5,6550.4,6676.6,6786.8,6965.9,7118.3,7277.6,NaN,NaN,7605,NaN,7795.8,7950.7,8197.1,8331.4,8439.3,8619.7,8772.6,8937.2,NaN,NaN,9263.4,9607.7,9773.6,9990.4,10113,10226,10407,NaN,10600,10758
1776.2,2020.8,2219.5,2357.9,2645.4,2815.5,2976.7,3145.8,3327.8,3490.3,3762.2,4333.2,4495.5,4655.7,4813.5,4991.8,5155.2,5322.3,5458.2,NaN,NaN,5766.5,NaN,5983.5,6144.4,6271.6,6514,6622.7,6752.9,6902.1,7071.9,7213.6,NaN,NaN,7525.4,NaN,7750.2,7899.2,8049.3,8272.3,8407.4,8551.6,8721,8871.1,NaN,NaN,9191.7,9567.1,9707.2,9950.8,10060,10188,10350,NaN,10552,10710,10856
