n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
2256.9,2431.4,2602.7,3177.5,3350.9,3470.4,3745.3,3942.1,4062,4288.8,4443.2,4595.5,NaN,NaN,4936.3,NaN,5135.2,5296.6,5478.9,5701.3,5834.4,5951.2,6140.5,6299.7,6457.6,NaN,NaN,6797.4,NaN,6997.2,7157.2,7330.5,7551.7,7683,7801.1,8015,8163.4,8274.9,8460,8613.8,8781,NaN,NaN,9128.5,NaN,9330.6,9495,9684.1,9909.9,10037,10151
2311.2,2514.4,2661.3,3247.9,3418.7,3582.5,3816.3,4011.1,4181.8,4391.7,4546.2,NaN,NaN,4855.5,NaN,5087.6,5242.4,5408.1,5660,5773.6,5906.9,6074.4,6250.2,6404.5,NaN,NaN,6716.3,NaN,6947.4,7112.4,7256.4,7509.6,7624.5,7757.8,7927.7,8090.6,8236.8,8393.4,8558.7,8718.5,NaN,NaN,9041.3,NaN,9279.2,9440.1,9597.7,9869.1,9985.7,10112,10270
